Pc,RONALDO,Juventus
Pc,IMMOBILE,Lazio
Pc,LUKAKU,Inter
Pc,ZAPATA D.,Atalanta
Pc,CAPUTO,Sassuolo
Pc,IBRAHIMOVIC,Milan
T;A,GOMEZ,Atalanta
Pc,MARTINEZ L.,Inter
Pc,BELOTTI,Torino
A,DYBALA,Juventus
Pc,DZEKO,Roma
A,BERARDI,Sassuolo
Pc,MURIEL,Atalanta
Pc,MERTENS,Napoli
W;A,CHIESA,Juventus
T;A,KULUSEVSKI,Juventus
E,GOSENS,Atalanta
A,JOAO PEDRO,Cagliari
A,REBIC,Milan
A,ILICIC,Atalanta
T,LUIS ALBERTO,Lazio
T,CALHANOGLU,Milan
Pc,OSIMHEN,Napoli
A,SANCHEZ,Inter
A,INSIGNE,Napoli
T;A,MKHITARYAN,Roma
Pc,MILIK,Napoli
Pc,MORATA,Juventus
Dd;Ds;E,HAKIMI,Inter
Pc,QUAGLIARELLA,Sampdoria
Ds;E,HERNANDEZ T.,Milan
A,BARROW,Bologna
C;T,NAINGGOLAN,Inter
A,CORREA,Lazio
T,DE PAUL,Udinese
C;T,MILINKOVIC-SAVIC,Lazio
A,BOGA,Sassuolo
W;A,PEDRO,Roma
C,VIDAL,Inter
Pc,SIMEONE,Cagliari
Pc,VLAHOVIC,Fiorentina
A,RIBERY,Fiorentina
W;A,ORSOLINI,Bologna
T;A,MIRANCHUK,Atalanta
Por,SZCZESNY,Juventus
Por,DONNARUMMA G.,Milan
C;T,PASALIC,Atalanta
C;T,CASTROVILLI,Fiorentina
A,KOUAME',Fiorentina
W;T,RAMIREZ,Sampdoria
T,MALINOVSKYI,Atalanta
T,ZANIOLO,Roma
Por,HANDANOVIC,Inter
M;C,LOCATELLI,Sassuolo
C;W;T,BONAVENTURA,Fiorentina
C;T,SORIANO,Bologna
C,VERETOUT,Roma
W;T,DIAZ B.,Milan
T,ERIKSEN,Inter
Pc,LAPADULA,Benevento
Pc,CAICEDO,Lazio
Pc,GABBIADINI,Sampdoria
Pc,LASAGNA,Udinese
Ds;Dc;E,KOLAROV,Inter
Dd;E,FARAONI,Verona
Dc,DE VRIJ,Inter
Dc,ACERBI,Lazio
Dc,KOULIBALY,Napoli
C;T,PELLEGRINI LO.,Roma
C,ARTHUR,Juventus
A,RAFAEL LEAO,Milan
W;T;A,VERDI,Torino
W;A,POLITANO,Napoli
Por,STRAKOSHA,Lazio
Pc,PAVOLETTI,Cagliari
M;C,BARELLA,Inter
E;W,LAZOVIC,Verona
E,LAZZARI,Lazio
Ds;Dc;E,CRISCITO,Genoa
Dd;E,HATEBOER,Atalanta
Dd;Dc,MILENKOVIC,Fiorentina
Dc,BONUCCI,Juventus
Dc,DE LIGT,Juventus
Dc,MANOLAS,Napoli
C;T,RUIZ,Napoli
T,DJURICIC,Sassuolo
Pc,SIMY,Crotone
Pc,CORNELIUS,Parma
Pc,INGLESE,Parma
Pc,BONAZZOLI,Torino
Pc,KALINIC,Verona
M;C,PULGAR,Fiorentina
M;C,KESSIE',Milan
Dd;E,CUADRADO,Juventus
Dd;Ds;E,YOUNG,Inter
C;T,ZIELINSKI,Napoli
A,LOZANO,Napoli
A,GERVINHO,Parma
A,CAPRARI,Benevento
A,DEFREL,Sassuolo
A,KEITA B.,Sampdoria
W;A,PERISIC,Inter
W,CASTILLEJO,Milan
W,CALLEJON,Fiorentina
Por,GOLLINI,Atalanta
Por,PAU LOPEZ,Roma
Por,SILVESTRI,Verona
Pc,OKAKA,Udinese
Pc,LAMMERS,Atalanta
M;C,DE ROON,Atalanta
Dd;E,DI LORENZO,Napoli
Dd;Ds;E,SPINAZZOLA,Roma
Dc,BASTONI,Inter
Dc,ROMAGNOLI,Milan
C;T,BARAK,Verona
C;T,ZACCAGNI,Verona
C,BROZOVIC,Inter
C,BENTANCUR,Juventus
A,IAGO FALQUE,Benevento
W;T,PEREYRA,Udinese
W;A,DEULOFEU,Udinese
T,RAMSEY,Juventus
Por,DRAGOWSKI,Fiorentina
Por,CONSIGLI,Sassuolo
Por,MUSSO,Udinese
Pc,PETAGNA,Napoli
Pc,ZAZA,Torino
Pc,NESTOROVSKI,Udinese
Pc,MURIQI,Lazio
Ds;E,ALEX SANDRO,Juventus
Dc,TOLOI,Atalanta
Dc,CHIELLINI,Juventus
Dc,N'KOULOU,Torino
Dc,SMALLING,Roma
C;W,JANKTO,Sampdoria
C,SENSI,Inter
A,PALACIO,Bologna
A,PANDEV,Genoa
W;T;A,PEREIRO,Cagliari
W;T,BERNARDESCHI,Juventus
Por,CRAGNO,Cagliari
Por,SIRIGU,Torino
Pc,CUTRONE,Fiorentina
Pc,DI CARMINE,Verona
Pc,DESTRO,Genoa
M;C,NANDEZ,Cagliari
M;C,AMRABAT,Fiorentina
M;C,DIAWARA,Roma
Dd;Dc;E,D'AMBROSIO,Inter
Dd;Dc,TOMIYASU,Bologna
Dd;Dc,IZZO,Torino
Dc,PALOMINO,Atalanta
Dc,IBANEZ,Roma
Dc,MANCINI,Roma
Dc,KUMBULLA,Roma
C;T,ELMAS,Napoli
C;T,VERRE,Sampdoria
C,FREULER,Atalanta
C,KUCKA,Parma
C,LINETTY,Torino
W;A,SOTTIL,Cagliari
W;A,CARLES PEREZ,Roma
T,ZAJC,Genoa
Pc,PINAMONTI,Inter
Pc,GALABINOV,Spezia
Pc,RIVIERE,Crotone
Pc,SHOMURODOV,Genoa
Pc,MAYORAL,Roma
M;C,ROG,Cagliari
M;C,GAGLIARDINI,Inter
M;C,BENNACER,Milan
M;C,THORSBY,Sampdoria
M,BAKAYOKO,Napoli
Ds;Dc,RADU,Lazio
Ds;Dc,GAGLIOLO,Parma
Dd;Ds;E,LETIZIA,Benevento
Dd;Ds;E,TOLJAN,Sassuolo
Dd;Dc;E,STRYGER LARSEN,Udinese
Dd;Dc,MAKSIMOVIC,Napoli
Dc,DJIMSITI,Atalanta
Dc,PEZZELLA GER.,Fiorentina
Dc,GODIN,Cagliari
Dc,ROMERO,Atalanta
Dc,KJAER,Milan
Dc,COLLEY,Sampdoria
Dc,FERRARI G.,Sassuolo
C;T,KURTIC,Parma
A,SAU,Benevento
A,GYASI,Spezia
W;T;A,DAMSGAARD,Sampdoria
W;A,SKOV OLSEN,Bologna
W;A,PUSSETTO,Udinese
T,GOJAK,Torino
Por,MONTIPO',Benevento
Por,SKORUPSKI,Bologna
Por,MERET,Napoli
Por,OSPINA,Napoli
Por,SEPE,Parma
Por,AUDERO,Sampdoria
Por,PERIN,Genoa
Pc,LLORENTE,Napoli
M;C,LUCAS LEIVA,Lazio
M;C,HERNANI,Parma
M;C,EKDAL,Sampdoria
M;C,RICCI M.,Spezia
M;C,MIGUEL VELOSO,Verona
M;C,CYPRIEN,Parma
E;W,MOLINA S.,Crotone
E;W,CANDREVA,Sampdoria
Ds;E,BIRAGHI,Fiorentina
Ds;E,RODRIGUEZ R.,Torino
Ds;Dc,CALDIROLA,Benevento
Dd;E,LIROLA,Fiorentina
Dd;E,BRUNO PERES,Roma
Dd;E,VOJVODA,Torino
Dd;E,DE SILVESTRI,Bologna
Dd;Ds;Dc,CACERES,Fiorentina
Dc,SKRINIAR,Inter
Dc,GUNTER,Verona
C;T,BENALI,Crotone
C;T,BENASSI,Verona
C;T,TRAORE' HJ.,Sassuolo
C,VIOLA,Benevento
C,RABIOT,Juventus
C,TONALI,Milan
A,COLLEY E.,Verona
A,MESSIAS,Crotone
A,FARIAS,Spezia
W,SAELEMAEKERS,Milan
T,PEREIRA A.,Lazio
M;C,SCHOUTEN,Bologna
M;C,DUNCAN,Fiorentina
M;C,CRISTANTE,Roma
M;C,BOURABIA,Sassuolo
M;C,BARTOLOMEI,Spezia
M;C,TAMEZE,Verona
M,DEMME,Napoli
E;C,LULIC,Lazio
E,FARES,Lazio
Ds;E,MARIO RUI,Napoli
Ds;E,KYRIAKOPOULOS,Sassuolo
Ds;E,ANSALDI,Torino
Ds;E,OUWEJAN,Udinese
Dd;E,GHIGLIONE,Genoa
Dd;E,ZAPPACOSTA,Genoa
Dd;Ds;E,DANILO,Juventus
Dd;Ds;E,CALABRIA,Milan
Dd;Ds;E,HYSAJ,Napoli
Dd;Ds;E,DARMIAN,Inter
Dc,GLIK,Benevento
Dc,LUIZ FELIPE,Lazio
Dc,BRUNO ALVES,Parma
Dc,YOSHIDA,Sampdoria
Dc,AYHAN,Sassuolo
Dc,DE MAIO,Udinese
Dc,NUYTINCK,Udinese
Dc,HOEDT,Lazio
C,MARIN,Cagliari
C,ADRIEN SILVA,Sampdoria
A,SANSONE,Bologna
A,KARAMOH,Parma
A,VERDE,Spezia
W;T,LOPEZ M.,Sassuolo
W;A,HARASLIN,Sassuolo
W;A,HAUGE,Milan
T,SAPONARA,Fiorentina
Pc,SANTANDER,Bologna
Pc,SALCEDO E.,Verona
M;C,CASSATA,Genoa
M;C,LERAGER,Genoa
M;C,VECINO,Inter
M;C,MCKENNIE,Juventus
M;C,BRUGMAN,Parma
M;C,OBIANG,Sassuolo
M;C,MEITE',Torino
M,RINCON,Torino
Ds;E,DIJKS,Bologna
Ds;E,AUGELLO,Sampdoria
Ds;E,ROGERIO,Sassuolo
Dd;E,PICCINI,Atalanta
Dd;Ds;Dc,RRAHMANI,Napoli
Dd;Dc;E,MULDUR,Sassuolo
Dc,DANILO LAR.,Bologna
Dc,CEPPITELLI,Cagliari
Dc,DEMIRAL,Juventus
Dc,MUSACCHIO,Milan
Dc,MARLON,Sassuolo
Dc,ERLIC,Spezia
Dc,BREMER,Torino
Dc,LYANCO,Torino
Dc,CETIN,Verona
C;T,PESSINA,Atalanta
C;T,VULIC,Crotone
C,DOMINGUEZ,Bologna
C,SCHONE,Genoa
C,BASELLI,Torino
A,ASORO,Genoa
W;A,INSIGNE R.,Benevento
Por,CORDAZ,Crotone
Por,ZOET,Spezia
Pc,FAVILLI,Verona
M;C,HETEMAJ,Benevento
M;C,ESCALANTE,Lazio
M;C,PAROLO,Lazio
M;C,LOBOTKA,Napoli
M;C,JAJALO,Udinese
M;C,CIGARINI,Crotone
M;C,EDUARDO HENRIQUE,Crotone
M,MEDEL,Bologna
M,BEHRAMI,Genoa
E,MARUSIC,Lazio
E,MOJICA,Atalanta
Ds;E,PELLEGRINI LU.,Genoa
Ds;E,PEZZELLA GIU.,Parma
Ds;E,MURRU,Torino
Ds;E,DIMARCO,Verona
Ds;Dc,JUAN JESUS,Roma
Ds;Dc,SAMIR,Udinese
Dd;E,BERESZYNSKI,Sampdoria
Dd;E,DEPAOLI,Atalanta
Dd;E,FERRER,Spezia
Dd;E,RISPOLI,Crotone
Dd;Ds;E,SANTON,Roma
Dd;Dc;E,BIRASCHI,Genoa
Dd;Dc;E,PATRIC,Lazio
Dd;Dc,IACOPONI,Parma
Dd;Dc,CHIRICHES,Sassuolo
Dc,BANI,Genoa
Dc,KLAVAN,Cagliari
Dc,WALUKIEWICZ,Cagliari
Dc,GOLEMIC,Crotone
Dc,GOLDANIGA,Genoa
Dc,ZAPATA C.,Genoa
Dc,BASTOS,Lazio
Dc,TONELLI,Sampdoria
Dc,RODRIGO BECAO,Udinese
Dc,BONIFAZI,Udinese
Dc,MARTINEZ QUARTA,Fiorentina
Dc,OSORIO,Parma
C;T,ILIC,Verona
C,IONITA,Benevento
C,GRASSI,Parma
C,MAGGIORE,Spezia
C,BORJA VALERO,Fiorentina
C,PETRICCIONE,Crotone
A,MILLICO,Torino
A,FORESTIERI,Udinese
A,PJACA,Genoa
W;A,IMPROTA,Benevento
W;A,EDERA,Torino
W,SILIGARDI,Crotone
T;A,VIGNATO,Bologna
T;A,BRUNETTA,Parma
Por,MIRANTE,Roma
M;C,STURARO,Genoa
M;C,BADELJ,Genoa
M;C,CATALDI,Lazio
M;C,MANDRAGORA,Udinese
M;C,MAKENGO,Udinese
M,RADOVANOVIC,Genoa
M,WALACE,Udinese
Ds;E,CZYBORRA,Genoa
Ds;E,ZEEGELAAR,Udinese
Ds;Dc,DENSWIL,Bologna
Ds;Dc,IGOR,Fiorentina
Ds;Dc,EMPEREUR,Verona
Dd;E,CONTI,Milan
Dd;E,MALCUIT,Napoli
Dd;E,LAURINI,Parma
Dd;E,TER AVEST,Udinese
Dd;E,RUEGG,Verona
Dd;E,MOLINA N.,Udinese
Dd;E,SALA,Spezia
Dd;E,BUSI,Parma
Dd;Ds;E,DALOT,Milan
Dd;Ds;Dc,PISACANE,Cagliari
Dd;Dc,CECCHERINI,Verona
Dc,CALDARA,Atalanta
Dc,ROMAGNA,Sassuolo
Dc,MARRONE,Crotone
Dc,FAZIO,Roma
Dc,MAGNANI,Verona
Dc,MAGALLAN,Crotone
Dc,VALENTI,Parma
C;W,TELLO,Benevento
C;T,SVANBERG,Bologna
